player_key,player,squad,src_league,pos,season,age,n_real_seasons,forecast_1y_eur,forecast_2y_eur
carlos neva,Carlos Neva,Granada,ESP1,DF,2023-24,27.0,3,2773182.0,2583204.0
carlos romero,Carlos Romero,Villarreal,ESP1,DF,2026-27,25.0,4,10669583.0,8982629.0
carlos soler,Carlos Soler,Real Sociedad,ESP1,MF,2026-27,29.0,8,8821439.0,6262779.0
carlos vicente,Carlos Vicente,Alavés,ESP1,MF,2025-26,26.0,3,6123042.0,5449944.0
carlos vinicius,Carlos Vinícius,Fulham,ENG1,FW,2024-25,29.0,4,4576115.0,3812741.0
carlton morris,Carlton Morris,Luton Town,ENG1,FW,2023-24,27.0,1,9620989.0,7959157.0
carmona,Carmona,Sevilla,ESP1,DF,2026-27,24.0,7,4615939.0,4600656.0
carney chukwuemeka,Carney Chukwuemeka,Dortmund,GER1,MF,2025-26,21.0,6,15368557.0,14353001.0
casemiro,Casemiro,Manchester Utd,ENG1,MF,2025-26,33.0,7,6513982.0,3592395.0
casimir ninga,Casimir Ninga,Angers,FRA1,FW,2021-22,28.0,2,1466265.0,1530201.0
cassiano kiala,Cassiano Kiala,Bayern Munich,GER1,DF,2025-26,16.0,1,2880408.0,3644036.0
castello lukeba,Castello Lukeba,RB Leipzig,GER1,DF,2026-27,24.0,6,37121435.0,27063241.0
castrin,Castrin,Sevilla,ESP1,DF,2026-27,23.0,2,6543969.0,6430547.0
catena,Catena,Osasuna,ESP1,DF,2026-27,32.0,6,1396496.0,1027762.0
cauley woodrow,Cauley Woodrow,Luton Town,ENG1,FW,2023-24,28.0,1,1633421.0,1677264.0
cebio soukou,Cebio Soukou,Arminia,GER1,MF,2020-21,27.0,1,1299829.0,1385570.0
cedric avinel,Cedric Avinel,Ajaccio,FRA1,DF,2022-23,36.0,1,239253.0,160164.0
cedric bakambu,Cédric Bakambu,Real Betis,ESP1,FW,2025-26,34.0,5,1174182.0,853025.0
cedric brunner,Cédric Brunner,Schalke 04,GER1,DF,2022-23,28.0,3,2607911.0,2313905.0
cedric gondo,Cedric Gondo,Salernitana,ITA1,FW,2021-22,25.0,1,1718899.0,2006528.0
cedric hountondji,Cedric Hountondji,Angers,FRA1,DF,2024-25,30.0,3,1354265.0,1163521.0
cedric itten,Cedric Itten,Werder Bremen,GER1,FW,2026-27,30.0,1,1909502.0,1709830.0
cedric kipre,Cedric Kipre,Reims,FRA1,DF,2024-25,28.0,1,3061659.0,2651917.0
cedric soares,Cédric Soares,Arsenal,ENG1,DF,2023-24,31.0,5,2568924.0,1864551.0
cedric teuchert,Cedric Teuchert,Union Berlin,GER1,FW,2021-22,24.0,2,1718513.0,2079946.0
cedric zesiger,Cedric Zesiger,Augsburg,GER1,DF,2025-26,27.0,4,4812232.0,4126878.0
cengiz under,Cengiz Under,Marseille,FRA1,MF,2022-23,25.0,3,16927992.0,13560319.0
cenk ozkacar,Cenk Özkacar,Köln,GER1,DF,2025-26,24.0,4,2691773.0,2908918.0
cenk tosun,Cenk Tosun,Everton,ENG1,FW,2021-22,30.0,2,2533200.0,2174152.0
cenny neumann,Cenny Neumann,Köln,GER1,DF,2025-26,18.0,1,300000.0,400000.0
cesar azpilicueta,César Azpilicueta,Sevilla,ESP1,DF,2025-26,35.0,6,868957.0,528333.0
cesar de la hoz,César de la Hoz,Almería,ESP1,MF,2022-23,30.0,1,1272261.0,1129344.0
cesar montes,César Montes,Almería,ESP1,DF,2023-24,26.0,1,3536593.0,3349024.0
cesar palacios,César Palacios,Fulham,ENG1,MF,2026-27,22.0,2,7902215.0,7934920.0
cesar tarrega,César Tárrega,Valencia,ESP1,DF,2026-27,24.0,4,7128383.0,6656427.0
cesare casadei,Cesare Casadei,Torino,ITA1,MF,2026-27,23.0,4,14422393.0,12812388.0
cesc fabregas,Cesc Fabregas,Monaco,FRA1,MF,2021-22,34.0,2,1743142.0,1073960.0
chadi riad,Chadi Riad,Crystal Palace,ENG1,DF,2026-27,23.0,4,15836728.0,13630082.0
chaka traore,Chaka Traore,AC Milan,ITA1,MF,2023-24,19.0,1,2652363.0,3354378.0
chancel mbemba,Chancel Mbemba,Lille,FRA1,DF,2025-26,31.0,3,2997897.0,2126082.0
