league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,src_league
ENG-Premier League,2020-21,Burnley,Charlie Taylor,1,2020,92,6044,D S,29,2430,0,0.11451609525829554,0,0.11451609525829554,1,1.5903598181903362,3,12,1,0,4.609694300219417,4.193466728553176,ENG1
ENG-Premier League,2020-21,Burnley,Chris Wood,1,2020,92,4456,F S,33,2765,12,12.954142516478896,10,11.431802516803145,3,2.038118289783597,70,23,0,0,13.58528614230454,2.1498528448864818,ENG1
ENG-Premier League,2020-21,Burnley,Dale Stephens,1,2020,92,6051,M S,7,258,0,0.08226919732987881,0,0.08226919732987881,0,0.0,3,0,1,0,0.24124889820814133,0.15897969901561737,ENG1
ENG-Premier League,2020-21,Burnley,Dwight McNeil,1,2020,92,6756,M S,36,3075,2,1.080685398541391,2,1.080685398541391,5,5.477007370442152,27,47,1,0,6.948604315519333,3.6068121027201414,ENG1
ENG-Premier League,2020-21,Burnley,Erik Pieters,1,2020,92,887,D M S,20,1259,0,0.15116787049919367,0,0.15116787049919367,1,0.36361539363861084,4,5,1,0,1.9328868268057704,1.5527143124490976,ENG1
ENG-Premier League,2020-21,Burnley,Jack Cork,1,2020,92,712,M S,16,1355,0,0.19732670206576586,0,0.19732670206576586,0,0.3305272376164794,5,8,2,0,2.8145491192117333,2.498658921569586,ENG1
ENG-Premier League,2020-21,Burnley,James Tarkowski,1,2020,92,1665,D,36,3240,1,3.0608745152130723,1,3.0608745152130723,0,0.9441512934863567,23,12,6,0,3.0737211741507053,2.8856543730944395,ENG1
ENG-Premier League,2020-21,Burnley,Jay Rodriguez,1,2020,92,844,F M S,31,1237,1,2.977034335024655,1,2.977034335024655,2,1.210919912904501,31,6,3,0,4.231585918925703,0.913431984372437,ENG1
ENG-Premier League,2020-21,Burnley,Jimmy Dunne,1,2020,92,8481,D,3,270,1,0.4191067963838577,1,0.4191067963838577,0,0.10200029984116554,7,2,1,0,0.10443910025060177,0.0430356003344059,ENG1
ENG-Premier League,2020-21,Burnley,Joel Mumbongo,1,2020,92,8566,S,4,33,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,ENG1
ENG-Premier League,2020-21,Burnley,Johann Berg Gudmundsson,1,2020,92,1663,M S,22,1369,2,1.5335707571357489,2,1.5335707571357489,0,0.9595046062022448,19,10,2,0,3.6138847433030605,1.325503310188651,ENG1
ENG-Premier League,2020-21,Burnley,Josh Benson,1,2020,92,7383,M S,6,257,0,0.2044139951467514,0,0.2044139951467514,0,0.0,2,0,0,0,0.15730180218815804,0.13246959820389748,ENG1
ENG-Premier League,2020-21,Burnley,Josh Brownhill,1,2020,92,8323,M S,33,2818,0,1.5182226011529565,0,1.5182226011529565,1,0.8824938023462892,34,19,2,0,5.996075024828315,4.790277905762196,ENG1
ENG-Premier League,2020-21,Burnley,Kevin Long,1,2020,92,1747,D S,8,635,0,0.6100035086274147,0,0.6100035086274147,0,0.017368000000715256,2,1,2,0,0.5022359061986208,0.5022359061986208,ENG1
ENG-Premier League,2020-21,Burnley,Lewis Richardson,1,2020,92,9082,S,2,2,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,ENG1
ENG-Premier League,2020-21,Burnley,Matej Vydra,1,2020,92,1017,F S,28,1363,3,5.373273886740208,3,5.373273886740208,2,2.1183415008708835,35,14,0,0,6.4258578307926655,1.0472039058804512,ENG1
ENG-Premier League,2020-21,Burnley,Matthew Lowton,1,2020,92,1652,D,34,3060,1,0.7594853155314922,1,0.7594853155314922,1,2.7722550611943007,21,26,5,0,6.366659976541996,3.579444417729974,ENG1
ENG-Premier League,2020-21,Burnley,Nick Pope,1,2020,92,5552,GK,32,2880,0,0.0,0,0.0,0,0.08605049923062325,0,2,1,0,1.1779347462579608,1.09188465308398,ENG1
ENG-Premier League,2020-21,Burnley,Phil Bardsley,1,2020,92,857,D S,4,272,0,0.06341449916362762,0,0.06341449916362762,0,0.0,3,0,2,0,0.12669399939477444,0.10160529986023903,ENG1
ENG-Premier League,2020-21,Burnley,Robbie Brady,1,2020,92,789,M S,19,1061,1,0.7830978035926819,1,0.7830978035926819,1,0.9085825961083174,16,7,3,0,2.677590448409319,1.5309147164225578,ENG1
ENG-Premier League,2020-21,Burnley,Will Norris,1,2020,92,7459,GK,2,180,0,0.0,0,0.0,0,0.04762199893593788,0,1,0,0,0.09335120022296906,0.045729201287031174,ENG1
ENG-Premier League,2020-21,Chelsea,Andreas Christensen,1,2020,80,200,D S,17,1375,0,0.12940829992294312,0,0.12940829992294312,0,0.25010460056364536,3,6,2,1,7.441709998995066,7.276740927249193,ENG1
ENG-Premier League,2020-21,Chelsea,Antonio Rüdiger,1,2020,80,1822,D,19,1710,1,1.1399358808994293,1,1.1399358808994293,0,0.3058072980493307,14,4,0,0,9.13764899969101,9.04483500123024,ENG1
ENG-Premier League,2020-21,Chelsea,Ben Chilwell,1,2020,80,782,D M,27,2296,3,2.984890672378242,3,2.984890672378242,5,2.4556783102452755,27,30,3,0,11.330960918217897,8.155131109058857,ENG1
ENG-Premier League,2020-21,Chelsea,Billy Gilmour,1,2020,80,7988,M S,5,256,0,0.051134299486875534,0,0.051134299486875534,0,0.1236583013087511,1,3,0,0,0.5436723902821541,0.4064304009079933,ENG1
ENG-Premier League,2020-21,Chelsea,Callum Hudson-Odoi,1,2020,80,6456,D F M S,23,1048,2,1.3696891833096743,2,1.3696891833096743,3,3.1041410844773054,23,31,0,0,7.8243640046566725,5.499200417660177,ENG1
ENG-Premier League,2020-21,Chelsea,Christian Pulisic,1,2020,80,2662,F M S,27,1739,4,6.775410307571292,4,6.775410307571292,2,2.761231416836381,43,25,2,0,14.59386957809329,7.101113624870777,ENG1
ENG-Premier League,2020-21,Chelsea,César Azpilicueta,1,2020,80,681,D S,26,2189,1,0.5030054012313485,1,0.5030054012313485,2,2.575493517331779,11,27,5,1,13.98924983292818,12.338828016072512,ENG1
ENG-Premier League,2020-21,Chelsea,Edouard Mendy,1,2020,80,6880,GK,31,2748,0,0.0,0,0.0,0,0.0,0,0,2,0,4.780521096661687,4.780521096661687,ENG1
ENG-Premier League,2020-21,Chelsea,Emerson,1,2020,80,1245,S,2,88,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,ENG1
ENG-Premier League,2020-21,Chelsea,Fikayo Tomori,1,2020,80,703,S,1,43,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0727275013923645,0.0727275013923645,ENG1
ENG-Premier League,2020-21,Chelsea,Hakim Ziyech,1,2020,80,8992,F M S,23,1182,2,1.9873142782598734,2,1.9873142782598734,3,4.478449231013656,35,34,3,0,7.6606698632240295,3.6919246558099985,ENG1
ENG-Premier League,2020-21,Chelsea,Jorginho,1,2020,80,1389,M S,28,2022,7,6.972690639086068,0,0.12224530149251223,1,1.9548698784783483,14,24,2,0,11.383733398281038,10.878981369547546,ENG1
ENG-Premier League,2020-21,Chelsea,Kai Havertz,1,2020,80,5220,F M S,27,1523,4,6.352187737822533,4,6.352187737822533,3,1.5533829852938652,33,18,2,0,10.38293974660337,4.811912000179291,ENG1
